Group_Name,model_tag,cumulative_infected_40_days,cumulative_rate_40_days,active_rate_before_peak,cumulative_before_peak,cumulative_rate_before_peak,days_peak,peak_active_infected_rate,cumulative_peak,cumulative_rate_peak,active_rate_after_peak,cumulative_after_peak,cumulative_rate_after_peak,cumulative_infected_120_days,cumulative_rate_120_days,model_name,Policy_Lever,Initial_Infections,Lockdown_Date,Prison_Rate,Police_Contact_Rate,Police_Group_Size
White_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,0.0,,,0.0,,0,,0.0,,,0.0,,0.0,,no_forced_labour,no_policy,10,14,0.35,10,17
Total_Residents,I10_PI0.35_L14___pcNone_pgrpNone,489434.0,0.09006977879351288,0.1720058501323871,1234821.0,0.22724219061116385,51,0.17259122740287322,1175215.0,0.21627299101578198,0.1676548118174278,1463284.0,0.2692858816348817,3570618.0,1.0,no_forced_labour,no_policy,10,14,0.35,10,17
Total_w_Police,I10_PI0.35_L14___pcNone_pgrpNone,492095.0,0.09033036378067748,0.17246353159680577,1241341.0,0.22786409962684026,51,0.17305455422405613,1181437.0,0.21686795028186073,0.16807946540365823,1470902.0,0.2700029724864631,3583516.0,1.0,no_forced_labour,no_policy,10,14,0.35,10,17
Black,I10_PI0.35_L14___pcNone_pgrpNone,35720.0,0.03743244006761028,0.14622358233430344,158659.0,0.16626521580870604,58,0.1691364613785487,220996.0,0.23159069219433376,0.1663319356816366,201605.0,0.21127007502325226,403917.0,0.0,no_police_prison_fl,no_policy,10,14,0.35,10,17
Black_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,0.0,,,0.0,,0,,0.0,,,0.0,,0.0,,no_police_prison_fl,no_policy,10,14,0.35,10,17
White,I10_PI0.35_L14___pcNone_pgrpNone,452782.0,0.1010744047314671,0.1770368555381178,1073523.0,0.23964225210043413,51,0.17951933221824606,1025668.0,0.22895959325263462,0.16744143974606662,1258405.0,0.28091341150068216,3160529.0,1.0,no_police_prison_fl,no_policy,10,14,0.35,10,17
White_Forced_Labour,I10_PI0.35_L14___pcNone_pgrpNone,0.0,,,0.0,,0,,0.0,,,0.0,,0.0,,no_police_prison_fl,no_policy,10,14,0.35,10,17
Total_Residents,I10_PI0.35_L14___pcNone_pgrpNone,488502.0,0.08989826428116687,0.17162574871766986,1232182.0,0.22675653954026137,51,0.17221881538834255,1172734.0,0.21581641643946178,0.16724660017252826,1460010.0,0.26868337250031005,3564446.0,1.0,no_police_prison_fl,no_policy,10,14,0.35,10,17
Total_w_Police,I10_PI0.35_L14___pcNone_pgrpNone,491162.0,0.09015909963573113,0.17208362412672826,1238697.0,0.2273787594347308,51,0.17268233782115067,1178952.0,0.2164117965839061,0.167671536561084,1467622.0,0.26940088631773423,3577341.0,1.0,no_police_prison_fl,no_policy,10,14,0.35,10,17
Black,lever1,21763.0,0.028199746982440488,0.1255022220885011,109309.0,0.14163884312381506,62,0.17698640781637046,200512.0,0.2598165541029779,0.15822997429845967,148053.0,0.19184198593903698,334786.0,0.0,original,lever1,10,14,0.35,10,17
Black_Forced_Labour,lever1,16897.0,0.09258224297017117,0.32547032508735163,68887.0,0.37744646810002846,57,0.36203352135058575,89666.0,0.49129901155017863,0.3604693944877291,85865.0,0.470472527231683,148909.0,1.0,original,lever1,10,14,0.35,10,17
White,lever1,400198.0,0.10530999769406707,0.18557014497938448,955089.0,0.2513266442801534,51,0.18762880026624343,911943.0,0.23997300143209263,0.1768392409400965,1121094.0,0.2950099864437914,2734657.0,1.0,original,lever1,10,14,0.35,10,17
White_Forced_Labour,lever1,94969.0,0.13976306107431935,0.34725630530188073,292403.0,0.4303208241353937,55,0.35580739704114217,336703.0,0.4955158204562178,0.3542524391447388,350216.0,0.5154025018395879,600109.0,1.0,original,lever1,10,14,0.35,10,17
Total_Residents,lever1,533827.0,0.09823935362889501,0.20195632461319682,1425687.0,0.26236696412343036,54,0.2033067083942195,1568488.0,0.28864641034394717,0.20254886899081007,1705228.0,0.3138104601488748,3818461.0,1.0,original,lever1,10,14,0.35,10,17
Total_w_Police,lever1,536146.0,0.0984164911644197,0.20223291872438026,1431440.0,0.2627592150503723,54,0.2035764925985475,1574793.0,0.2890735011923804,0.20281349111735297,1712064.0,0.3142713580422516,3831077.0,1.0,original,lever1,10,14,0.35,10,17
Black,lever2,20524.0,0.026594293390966712,0.12427513308328757,107395.0,0.13915874774521877,62,0.17720507387211337,198896.0,0.25772259687632604,0.15755199679362317,146200.0,0.18944093226268435,334134.0,0.0,original,lever2,10,14,0.35,10,17
Black_Forced_Labour,lever2,16161.0,0.08854954303373003,0.3245759048832129,68120.0,0.37324391259561224,57,0.36300979950657236,89043.0,0.4878854625550661,0.3611193903786825,85213.0,0.46690008109233566,148856.0,1.0,original,lever2,10,14,0.35,10,17
White,lever2,394196.0,0.10373060297905153,0.18578890437949935,949767.0,0.24992618798669908,51,0.1878440214083546,906556.0,0.23855544073069496,0.1770724381238797,1116029.0,0.2936771583478977,2732538.0,1.0,original,lever2,10,14,0.35,10,17
White_Forced_Labour,lever2,92324.0,0.13587049300956586,0.347262804231544,290045.0,0.426850625459897,55,0.35663438863743124,334620.0,0.4924503311258278,0.3553058934048098,348222.0,0.5124679911699779,599958.0,1.0,original,lever2,10,14,0.35,10,17
Total_Residents,lever2,523206.0,0.09628478749624812,0.2019058097721679,1415327.0,0.26046042941537817,54,0.20339600428960522,1558512.0,0.2868105425594367,0.20276922829779626,1695664.0,0.3120504120844143,3815486.0,1.0,original,lever2,10,14,0.35,10,17
Total_w_Police,lever2,525480.0,0.09645860973891301,0.2021823561047633,1421036.0,0.26084942709322145,54,0.20366583308664235,1564775.0,0.2872345684977689,0.2030340965081479,1702459.0,0.3125082368073002,3828097.0,1.0,original,lever2,10,14,0.35,10,17
